Match Date,Match,Home/Away,Team,Player Name,Minutes Played,Time Period,Total Distance
05/04/2018,Team Q v Team A,away,Team A,Player 14,89,1-5TD,645.7
05/04/2018,Team Q v Team A,away,Team A,Player 20,102,1-5TD,704.2
05/04/2018,Team Q v Team A,away,Team A,Player 28,17,1-5TD,0.0
05/04/2018,Team Q v Team A,away,Team A,Player 15,102,1-5TD,748.0
05/04/2018,Team Q v Team A,away,Team A,Player 9,102,1-5TD,630.1
05/04/2018,Team Q v Team A,away,Team A,Player 27,11,1-5TD,0.0
05/04/2018,Team Q v Team A,away,Team A,Player 6,102,1-5TD,638.8
05/04/2018,Team Q v Team A,away,Team A,Player 19,102,1-5TD,675.0
17/04/2018,Team O v Team A,away,Team A,Player 17,98,1-5TD,519.9
17/04/2018,Team O v Team A,away,Team A,Player 18,48,1-5TD,425.5
17/04/2018,Team O v Team A,away,Team A,Player 13,34,1-5TD,0.0
17/04/2018,Team O v Team A,away,Team A,Player 1,98,1-5TD,540.3
17/04/2018,Team O v Team A,away,Team A,Player 14,81,1-5TD,481.5
17/04/2018,Team O v Team A,away,Team A,Player 26,84,1-5TD,487.9
